"OnOff","Zone","Latitude Degree","North or South","Longtitude Degree","East or West","Latitude Minute","Latitude Minute1","Longtitude Minute","Longtitude Minute1","Radius(Meter)"
"1","19","13","0","77","0","00.00","25.00","35.00","40.00","64"
"1","20","13","0","80","0","06.00","77.00","05.00","59.00","64"
"1","21","10","0","76","0","23.00","97.00","07.00","15.00","112"
"1","22","8","0","76","0","52.00","17.00","39.00","76.00","112"
"1","23","12","0","75","0","14.00","44.00","22.00","59.00","112"
"1","24","28","0","77","0","33.00","55.00","10.00","94.00","160"
"1","25","18","0","73","0","45.00","58.00","20.00","64.00","160"
"1","26","17","0","78","0","21.00","36.00","31.00","57.00","96"
"1","27","11","0","78","0","41.00","96.00","14.00","40.00","96"
"1","28","11","0","77","0","06.00","83.00","09.00","64.00","64"
"1","29","12","0","76","0","18.00","74.00","48.00","69.00","64"
"1","30","18","0","82","0","05.00","48.00","57.00","03.00","64"
"1","31","16","0","80","0","30.00","43.00","39.00","91.00","64"
"1","32","9","0","78","0","51.00","88.00","37.00","19.00","144"
"1","33","13","0","76","0","44.00","88.00","28.00","20.00","112"
"1","34","13","0","74","0","00.00","91.00","51.00","11.00","64"
"1","35","23","0","72","0","01.00","56.00","35.00","93.00","64"
"1","36","22","0","88","0","34.00","65.00","20.00","37.00","80"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
"0","255","0","0","0","0","00.00","00.00","00.00","00.00","0"
